scope,dataset,task,task_type,model_or_config,split,metric,value,time_train_s,time_infer_s,notes
relbench_json2vec_clean_matrix,rel-f1,driver-top3,binary_classification,json2vec_d32_b64_lr0.001_e3_h128,test,f1,0.0,33.42009997367859,1.3066768646240234,clean fixed-config matrix; no tuning; warnings: relation 'qualifying' was capped at 128 rows; relation 'results' was capped at 128 rows; relation 'standings' was capped at 128 rows
relbench_json2vec_clean_matrix,rel-f1,driver-top3,binary_classification,json2vec_d32_b64_lr0.001_e3_h128,test,roc_auc,0.7398751045150501,33.42009997367859,1.3066768646240234,clean fixed-config matrix; no tuning; warnings: relation 'qualifying' was capped at 128 rows; relation 'results' was capped at 128 rows; relation 'standings' was capped at 128 rows
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,json2vec_d32_b64_lr0.001_e3_h128,val,r2,0.036630783903136566,127.220942735672,0.9416699409484863,clean fixed-config matrix; no tuning; warnings: relation 'qualifying' was capped at 128 rows; relation 'results' was capped at 128 rows; relation 'standings' was capped at 128 rows
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,json2vec_d32_b64_lr0.001_e3_h128,val,mae,3.7032913374916747,127.220942735672,0.9416699409484863,clean fixed-config matrix; no tuning; warnings: relation 'qualifying' was capped at 128 rows; relation 'results' was capped at 128 rows; relation 'standings' was capped at 128 rows
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,json2vec_d32_b64_lr0.001_e3_h128,val,rmse,4.55036958549378,127.220942735672,0.9416699409484863,clean fixed-config matrix; no tuning; warnings: relation 'qualifying' was capped at 128 rows; relation 'results' was capped at 128 rows; relation 'standings' was capped at 128 rows
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,json2vec_d32_b64_lr0.001_e3_h128,test,r2,0.09568932092281501,127.220942735672,1.4125299453735352,clean fixed-config matrix; no tuning; warnings: relation 'qualifying' was capped at 128 rows; relation 'results' was capped at 128 rows; relation 'standings' was capped at 128 rows
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,json2vec_d32_b64_lr0.001_e3_h128,test,mae,4.123594397996602,127.220942735672,1.4125299453735352,clean fixed-config matrix; no tuning; warnings: relation 'qualifying' was capped at 128 rows; relation 'results' was capped at 128 rows; relation 'standings' was capped at 128 rows
relbench_json2vec_clean_matrix,rel-f1,driver-position,regression,json2vec_d32_b64_lr0.001_e3_h128,test,rmse,4.954829168542724,127.220942735672,1.4125299453735352,clean fixed-config matrix; no tuning; warnings: relation 'qualifying' was capped at 128 rows; relation 'results' was capped at 128 rows; relation 'standings' was capped at 128 rows
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,json2vec_d32_b64_lr0.001_e3_h128,val,r2,-0.09913542668331332,23.969712018966675,0.12891793251037598,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,json2vec_d32_b64_lr0.001_e3_h128,val,mae,4.25077281338828,23.969712018966675,0.12891793251037598,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,json2vec_d32_b64_lr0.001_e3_h128,val,rmse,5.094431477448454,23.969712018966675,0.12891793251037598,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,json2vec_d32_b64_lr0.001_e3_h128,test,r2,-0.20872660667487208,23.969712018966675,0.3116738796234131,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,json2vec_d32_b64_lr0.001_e3_h128,test,mae,4.864652829649251,23.969712018966675,0.3116738796234131,clean fixed-config matrix; no tuning
relbench_json2vec_clean_matrix,rel-f1,results-position,regression,json2vec_d32_b64_lr0.001_e3_h128,test,rmse,5.889064791016223,23.969712018966675,0.3116738796234131,clean fixed-config matrix; no tuning
